Acanella,Acanthogorgia,Anthomastus,Anthothela,Balticina,Bathypathes,Chrysogorgia,Clavularia,Desmophyllum,Distichoptilum,Funiculina,Javania,Keratoisis,Kophobelemnon,Lateothela,Lophelia,Paragorgia,Paramuricea,Parantipathes,Pennatula,Primnoa,Protoptilum,Radicipes,Solenosmilia,Stauropathes,Stichopathes,Swiftia,Telopathes,Thouarella,Umbellula
0,0.00383582662063675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00498657460682777,0,0.0291522823168393,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00754060324825986,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012987012987013,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167567567567568,0,0.0121621621621622,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0333333333333333,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00643086816720257,0,0.0466237942122186,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0112359550561798,0,0.0449438202247191,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10828025477707,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0666666666666667,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00462962962962963,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.136507936507936,0,0,0,0.0126984126984127,0.00317460317460317,0,0,0.117460317460317,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0202020202020202,0,0,0,0,0,0,0,0,0
0,0.0229357798165138,0,0,0,0,0,0,0,0,0,0,0.174311926605505,0,0,0,0.0229357798165138,0.00917431192660551,0,0,1.22018348623853,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,0,0,0,0,0,0,0,0.0277777777777778,0,0,0,0,0,0,0,0,0
0,0.0224719101123595,0.0636704119850187,0,0,0,0,0,0,0,0,0,2.9250936329588,0,0,0,0.0262172284644195,0.0674157303370786,0,0,1.34082397003745,0,0,0,0,0,0,0,0,0
0,0.0372670807453416,0.0062111801242236,0,0,0,0,0,0,0,0,0,0.639751552795031,0,0,0,0.0590062111801242,0.031055900621118,0,0,3.46894409937888,0,0,0,0,0,0,0,0,0
0.00125628140703518,0.00103779768407254,5.46209307406598e-5,0,0,0,5.46209307406598e-5,0,2.1848372296263e-4,0,0,0,0,0,0,0,8.1931396110989e-4,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00392716886826134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08016877637131,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59047619047619,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0169491525423729,0,0,0,0.31638418079096,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.0431893687707641,0,0,0,0.00664451827242525,0,0,0,0.0132890365448505,0,0,0,0,0,0,0,0,0
0.0075187969924812,0,0,0,0,0,0,0,0,0,0,0,0.0075187969924812,0,0,0,0,0.0075187969924812,0,0,0.0150375939849624,0,0,0,0,0,0,0,0,0
0.00917431192660551,0,0,0,0,0,0,0,0,0,0,0,0.321100917431193,0,0,0,0.036697247706422,0,0,0,0.00917431192660551,0,0,0,0,0,0,0,0,0
2.3121387283237e-4,0,0,4.6242774566474e-4,0,0,0,0,4.6242774566474e-4,0,0,0,2.3121387283237e-4,0,0,0,4.6242774566474e-4,2.3121387283237e-4,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,7.0821529745042e-4,0,0,0,7.0821529745042e-4,0,0,0,7.0821529745042e-4,0,0,0,7.0821529745042e-4,0,0,0,0,0,0,0,0,0
0,0,0,6.768953068592e-4,0,0,0,0,6.768953068592e-4,0,0,0,9.0252707581227e-4,0,0,0,2.2563176895306e-4,0,0,0,0,0,0,0,0,0,0,0,0,0
1.7006802721088e-4,0,0,0,0,0,0,0,1.7006802721088e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0028735632183908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0574712643678161,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.285714285714286,0,0,0,0.142857142857143,0,0,0,0,0,0,0,0,0
0.00273972602739726,0,0,0.00273972602739726,0,0,0,0,0,0,0,0,0,0,0,0,0.802739726027397,0,0,0,3.03561643835616,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857142857143,0,0,0,1.64285714285714,0,0,0,0,0,0,0,0,0
0,0,0,6.7796610169491e-4,6.7796610169491e-4,0,0,0,0,0,0,0,0,0,0,0,0.00338983050847458,0,0,4.5197740112994e-4,0.00203389830508475,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2743942370661e-4,0,0,0,9.8231827111984e-4,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0405405405405405,0,0,0,0.0405405405405405,0,0,0,0,0,0,0,0,0
1.8341892883345e-4,0,0,1.8341892883345e-4,1.8341892883345e-4,0,0,0,0.00146735143066764,0,0,0,0,0,0,0,0.00256786500366838,1.8341892883345e-4,0,0,7.3367571533382e-4,0,0,0,0,1.8341892883345e-4,0,0,0,0
7.0921985815602e-4,3.5460992907801e-4,3.5460992907801e-4,0.00177304964539007,0,0,0,0,0.00390070921985816,0,0,0,0,0,3.5460992907801e-4,3.5460992907801e-4,0.00319148936170213,3.5460992907801e-4,0,3.5460992907801e-4,3.5460992907801e-4,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.2140342642572e-4,0,0,0,3.5203003989673e-4,0,0,0,0,0,0,0,0,0
0,0,0.0037593984962406,0,0,0,0,0,0.0037593984962406,0,0,0,0.0037593984962406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00108108108108108,5.4054054054054e-4,0.00702702702702703,0.00324324324324324,0,0,0,0,0.00648648648648649,0,0,0,0,0,0,0,0.00810810810810811,0.00216216216216216,0,0,0.00216216216216216,0,0,5.4054054054054e-4,0,5.4054054054054e-4,0,0,0,0
0,0,0.00952380952380952,0.00317460317460317,0,0,0,0,0.0285714285714286,0,0,0,0.911111111111111,0,0,0,0.0412698412698413,0.0317460317460317,0,0,0,0,0,0.00952380952380952,0,0,0,0,0,0
0,0,0.0448275862068966,0,0,0,0,0,0.0172413793103448,0,0,0,0,0,0,0,0.00344827586206897,0.103448275862069,0,0,0,0,0,0.0137931034482759,0,0,0,0,0,0
0.0121366975407218,3.1938677738741e-4,0.019163206643245,0,0.00319386777387416,0,0,6.3877355477483e-4,0.00319386777387416,0,0,0.0019163206643245,0.0019163206643245,0,0,0,0,6.3877355477483e-4,0,0,0,9.5816033216224e-4,0,0,0,0,0,0,0,0
