ID,sal_mean,temp_mean,vel_mean,sam_ef,pH,SurveyID,Dive,slope,tpi20km,Ox,mud,plancurv,profcur,aspect2000
365500,34.953243255615234,6.968417167663574,0.03889944776892662,4432,8.03761100769043,Bigelow2017,R2012,13.709863662719728,222.989013671875,200.5627899169922,0.4868512749671936,5.110058555146679e-5,2.0794433658011255e-4,150.8686981201172
365501,34.96343994140625,6.641507148742676,0.02874522097408771,5880,8.031214714050293,Bigelow2017,R2012,19.89957618713379,216.9180145263672,199.352783203125,0.5133242607116699,1.177441572508542e-5,-5.190432148083346e-6,139.9446563720703
384381,34.93308639526367,8.001593589782715,0.07246387749910355,348,8.055956840515137,R2111-R2118,R2111,9.201312065124512,390.2330932617187,220.65830993652344,0,8.002925824257545e-6,5.30478500877507e-5,226.8173065185547
385106,34.9399299621582,7.806227684020996,0.05218356102705002,98,8.053363800048828,R2111-R2118,R2111,10.874428749084473,377.9474182128906,223.6692657470703,0.02111553400754928,2.487695383024402e-5,-3.8466798287117854e-5,110.08838653564452
385107,34.94184494018555,7.784337043762207,0.05479708686470985,365,8.05461311340332,R2111-R2118,R2111,11.107083320617676,386.2579956054687,220.6259765625,0.00535569433122873,6.411134563677479e-6,-2.4062471766228555e-6,220.81765747070313
385108,34.93885040283203,7.80642032623291,0.06231081485748291,14,8.055769920349121,R2111-R2118,R2111,11.647557258605955,394.568603515625,217.59906005859375,0,-7.741308945696801e-5,5.3207029850455e-5,230.03512573242188
385835,34.95232391357422,7.228265285491943,0.03539571538567543,4425,8.055582046508789,HB1402,R1701,14.844244956970217,384.71685791015625,214.5398101806641,2.294643255517769e-14,8.086816524155438e-5,-5.0684571760939434e-5,228.30068969726565
385839,34.959659576416016,7.141458034515381,0.04939235746860504,3054,8.049298286437988,Bigelow2017,R2009,16.56696128845215,412.6951599121094,204.87583923339844,0,-5.714551080018282e-4,2.623320324346423e-4,148.0881805419922
385844,34.96529769897461,5.984144687652588,0.05231986939907074,148,8.03381061553955,R2111-R2118,R2112,11.973142623901367,326.81683349609375,197.4123077392578,0,-1.1816504411399364e-4,6.631835276493803e-6,185.1620330810547
386561,34.952369689941406,7.360531330108643,0.02854812145233154,5452,8.055009841918945,HB1402,R1701,5.212799549102783,355.86114501953125,214.8776397705078,0.3100929260253906,-6.656445475528017e-5,3.164257941534743e-5,109.80841827392578
386562,34.95766830444336,6.863979816436768,0.0268936064094305,2820,8.055395126342773,HB1402,R1701,12.89793586730957,360.6778259277344,211.4805450439453,2.112389717355903e-13,-2.0220995065756145e-4,-1.1830566654680295e-4,207.97491455078125
386566,34.962677001953125,6.553980827331543,0.04009891301393509,8522,8.04758358001709,Bigelow2017,R2009,19.364625930786133,379.9446105957031,202.60511779785156,0,4.129297303734347e-5,1.9970117136836052e-4,155.2918701171875
386571,34.962032318115234,5.584563732147217,0.0568033829331398,266,8.0306549072265625,R2111-R2118,R2112,13.284890174865724,295.70147705078125,196.68798828125,0,-1.3236327504273504e-4,-2.3916014470160007e-5,186.45120239257813
387289,34.9579963684082,6.816235542297363,0.02669215388596058,1850,8.055208206176758,HB1402,R1701,19.565004348754883,336.6388244628906,208.42129516601565,0.1799706220626831,-1.5830273332539946e-4,-1.8522460595704615e-4,156.5812530517578
387298,34.96129608154297,5.525140762329102,0.05903857573866844,315,8.02750015258789,R2111-R2118,R2112,14.099170684814451,264.58612060546875,195.9636688232422,0,-2.2754884412279353e-5,-8.462988625979051e-5,178.49652099609375
388025,34.95549011230469,5.110312461853027,0.07825808972120285,290,8.024298667907715,R2111-R2118,R2112,15.699156761169434,233.47076416015625,195.57833862304688,0,-1.1373437155270948e-4,-3.0993163818493485e-5,162.44500732421875
390930,34.944087982177734,4.499161243438721,0.08980496972799301,3131,8.018577575683594,HB1402,R1702,17.083093643188477,162.20042419433594,201.51483154296875,0.4981681704521179,1.629209000384435e-4,5.940429764450528e-5,38.60770034790039
390931,34.9410514831543,4.372260093688965,0.0866980105638504,1959,8.015752792358398,HB1402,R1702,21.78948974609375,144.47006225585938,202.6968536376953,0.4981355369091034,-5.5362303100991994e-5,3.587890387279913e-5,54.64138412475586
392370,34.94087219238281,7.881269454956055,0.04477814584970474,10067,8.061222076416016,Bigelow2017,R2010,10.390334129333496,269.2163391113281,216.11033630371097,0,-2.8116213798057288e-5,-9.982812480302528e-5,163.83700561523438
392374,34.96197509765625,6.058123588562012,0.03140799701213837,9603,8.050742149353027,Bigelow2017,R2011,7.030231475830078,218.79103088378903,209.72613525390625,9.761913679540156e-4,4.671093847719021e-5,5.171972588868812e-5,130.2144775390625
392387,34.932037353515625,4.077792167663574,0.05553923547267914,2926,8.002279281616211,HB1402,R1702,16.169601440429688,46.778621673583984,213.71401977539065,0.4972610473632813,-4.746090098706191e-7,2.0538085664156824e-4,75.17010498046875
392388,34.93065643310547,4.046228408813477,0.05729885026812553,2189,8.000299453735352,HB1402,R1702,16.22914695739746,31.849393844604492,216.87908935546875,0.4974352717399597,2.715234768402297e-5,2.633398398756981e-4,54.32670211791992
392389,34.92775344848633,3.9617512226104736,0.05021916329860687,500,7.998320579528809,HB1402,R1702,19.46761131286621,16.920166015625,220.0441741943359,0.4907977283000946,2.451269538141787e-4,1.0995116099365989e-5,73.29090118408203
393097,34.950050354003906,7.610844612121582,0.03738390654325485,4922,8.061914443969727,Bigelow2017,R2010,5.932586669921875,262.600341796875,214.09681701660156,0,2.8252929041627795e-5,-1.624384749447927e-4,108.38964080810548
393114,34.928688049316406,3.966355085372925,0.05138229951262474,386,7.998580455780029,HB1402,R1702,14.878043174743652,15.663264274597168,216.99075317382813,0.49685603380203247,-1.488564448663965e-4,-1.0373437544330956e-4,138.98391723632813
393116,34.924415588378906,3.858390092849731,0.06426260620355606,3302,7.9956793785095215,HB1402,R1702,18.032398223876953,-11.394057273864746,224.2178649902344,0.4972984492778778,-7.71972700022161e-5,8.307226380566135e-5,112.22183227539064
393843,34.920806884765625,3.744433641433716,0.08089517056941986,1024,7.993513107299805,HB1402,R1702,18.86989402770996,-39.70827865600586,227.9468536376953,0.49702924489974976,-4.8436526412842795e-5,1.9889062969014049e-4,130.8583221435547
393844,34.919525146484375,3.7112033367156982,0.08240781724452972,1203,7.992507457733154,HB1402,R1702,20.867778778076172,-51.83637237548828,231.86184692382813,0.49726682901382446,7.667578029213473e-5,-1.05824219645001e-4,123.41332244873048
394571,34.91648483276367,3.622922658920288,0.07630667835474014,2224,7.991857051849365,HB1402,R1702,20.25739097595215,-78.750030517578125,234.27188110351565,0.49706602096557617,-1.1410546721890567e-4,-2.142275479855016e-4,116.75701141357422
395282,34.96183776855469,5.5710129737854,0.03355108201503754,2266,8.03968334197998,Bigelow2017,R2011,17.206214904785156,157.48101806640625,205.39590454101565,0,7.697656110394746e-5,-3.6949215427739546e-5,81.97528839111328
395298,34.91165542602539,3.473003625869751,0.05308764800429344,5819,7.991474628448486,HB1402,R1702,22.53853416442871,-105.66368103027344,236.27877807617188,0.49690303206443787,-5.000097007723525e-5,-6.452050729421899e-5,102.18172454833984
408351,35.008609771728516,7.321038246154785,0.02649827674031257,3586,8.030301094055176,HB1402,R1698,17.240266799926758,223.4228973388672,199.4352264404297,0.6158846020698547,-3.711425597430207e-5,-1.7788085096981376e-4,155.37196350097656
408352,35.00406265258789,6.799709320068359,0.01979625597596168,2107,8.024476051330566,HB1402,R1698,16.965763092041016,212.14810180664065,198.0686187744141,0.6236432790756226,-1.5406640886794776e-4,2.2757811166229654e-5,185.7549743652344
409078,35.00571060180664,6.927708625793457,0.02325615659356117,1692,8.02819538116455,HB1402,R1698,15.46871852874756,212.05606079101565,198.48829650878903,0.637746274471283,1.4298828318715096e-4,-8.971679926617071e-5,112.78778076171876
409079,35.003936767578125,6.6766533851623535,0.02013733051717281,1433,8.0222806930542,HB1402,R1698,15.231729507446287,198.78160095214844,197.29136657714844,0.6442130208015442,1.516211159469094e-5,-2.223935443907976e-4,162.58099365234375
409808,34.98861312866211,5.747837066650391,0.0552663691341877,3792,8.008630752563477,HB1402,R1699,15.77091121673584,154.86688232421875,195.1151580810547,0.6531341075897217,9.830078852246515e-6,2.1155274225748144e-5,163.40135192871094
410535,34.98604965209961,5.571506977081299,0.05751295387744903,3051,8.006611824035645,HB1402,R1699,15.956938743591309,137.50108337402344,195.1925506591797,0.6517773866653442,-1.0168067092308776e-4,-1.2107324437238276e-4,94.0089874267578
410536,34.97746276855469,5.269796371459961,0.07499682158231735,888,8.003199577331543,HB1402,R1699,17.706073760986328,120.22731018066406,197.51480102539065,0.710663378238678,-3.995117367594503e-5,-2.155439433408901e-4,154.77197265625
413443,34.9913330078125,5.6055402755737305,0.055788055062294,5256,8.002740859985352,HB1402,R1697,15.493836402893066,68.037841796875,201.5396728515625,1,-1.5328516019508245e-4,7.450196335412329e-6,109.22240447998048
413449,34.945953369140625,4.287736892700195,0.0950239524245262,6509,7.989743232727051,HB1402,R1700,12.591062545776367,-53.40719223022461,228.3251953125,1,-9.167578537017108e-5,-1.261162105947733e-4,82.32386016845703
414895,35.01130294799805,6.168085098266602,0.04366724193096161,24465,8.00777530670166,HB1903,R2110,15.039159774780272,92.78665924072266,202.84292602539065,1,-6.337893978525244e-7,-2.4629884137539193e-5,116.35491943359376
414896,35.00027847290039,5.833034992218018,0.05221321433782577,5685,8.004145622253418,HB1903,R2110,14.08254337310791,64.580291748046875,203.3727874755859,1,3.4900389437098056e-5,-7.951074076117948e-5,123.07615661621094
422883,35.02068328857422,6.1208696365356445,0.03812713176012039,23674,8.00739860534668,EX1905L2,EX1905L205,13.046345710754396,207.25393676757813,207.8722381591797,1,-1.5968749721650966e-5,5.820317596771929e-7,101.90038299560548
425787,35.00931167602539,5.734622955322266,0.0276817362755537,4768,8.00739860534668,HB1702,R2008,14.658080101013184,261.52996826171875,211.4982452392578,0.9968541860580444,-6.635351746808738e-5,-1.7408789426553994e-4,155.2952117919922
425788,35.00238037109375,5.564792633056641,0.0341484360396862,8627,8.004339218139648,HB1702,R2008,18.05482292175293,235.2891387939453,213.63735961914065,1,2.564648457337171e-5,9.505468187853694e-5,215.2623748779297
426515,34.98731231689453,5.194494247436523,0.05003164708614349,3509,8.000844955444336,HB1702,R2008,18.70148468017578,222.2242126464844,216.16848754882813,1,-4.657031240640208e-5,-1.734902325551957e-4,199.51478576660156
427242,34.967315673828125,4.702241897583008,0.07448531687259674,16028,7.998157978057861,EX1905L2,EX1905L206,13.00426197052002,209.1592712402344,218.75973510742188,1,-1.0453124559717251e-4,-1.1083984281867744e-4,178.75096130371094
432328,34.95513916015625,4.401139259338379,0.07521035522222519,2314,7.991573333740234,HB1903,R2109,13.64517879486084,141.59619140625,226.8458709716797,1,6.465917977038771e-5,1.5037109733384568e-5,162.5166473388672
433054,34.94894790649414,4.256010055541992,0.08850659430027008,13097,7.990813255310059,HB1903,R2109,17.049854278564453,131.39492797851565,225.99212646484375,1,-6.17265613982454e-5,2.1147461666259915e-5,134.6073455810547
433055,34.95030975341797,4.289124965667725,0.08474784344434738,12960,7.990415573120117,HB1903,R2109,13.037784576416016,118.8327178955078,229.50648498535156,1,-7.855370495235547e-5,-9.319140372099356e-5,162.1909637451172
436684,34.96942901611328,4.67714786529541,0.08311919122934341,10803,7.990959167480469,HB1402,R1696,21.74601936340332,111.74347686767578,226.3441162109375,1,-4.0228514990303665e-5,2.4721679437789135e-5,150.93809509277344
446119,35.01817321777344,5.559576988220215,0.03223754093050957,6259,7.9984130859375,HB1702,R2006,14.999719619750977,236.2947540283203,218.17233276367188,0.5230121612548828,-6.568554817931727e-5,1.5185546544671524e-5,139.36363220214844
446120,34.993228912353516,5.073517799377441,0.04493274912238121,19894,7.996639728546143,HB1702,R2006,14.879487037658691,231.13748168945313,220.50596618652344,0.5391587615013123,-5.251171751297079e-5,-2.428808693366591e-5,140.65362548828125
448288,35.00233840942383,5.181389331817627,0.09517873823642732,3549,8.011162757873535,HB1302,TC14,11.859355926513672,247.9024200439453,198.26730346679688,0.4714112281799317,4.791015453520231e-5,3.282128818682395e-5,210.2981414794922
449015,34.99469757080078,5.037191867828369,0.14386972784996033,9764,8.00704574584961,HB1302,TC14,13.72728157043457,231.14259338378903,198.09835815429688,0.4998160302639008,-5.990233148622792e-6,1.6122070519486442e-5,207.3976898193359
449742,34.99066162109375,4.9588623046875,0.14940138161182404,5657,8.0043363571167,HB1302,TC14,14.741305351257324,214.38278198242188,199.51577758789065,0.5281581282615662,-1.3231445336714389e-5,-2.523056755308062e-4,188.5909423828125
450468,35.00163269042969,5.148425579071045,0.11510686576366425,5074,8.004679679870605,HB1302,TC15,15.372549057006836,208.35861206054688,200.2901153564453,0.5585114359855652,2.2210935640032403e-5,-6.120214675320312e-5,57.54280090332031
450469,34.9891357421875,4.926810264587402,0.1252683699131012,4577,8.00244426727295,HB1302,TC15,13.932157516479492,197.62295532226565,201.8536071777344,0.5560631155967712,-4.113378963666037e-5,-8.250390965258703e-5,78.801300048828125
451195,35.0041389465332,5.185924053192139,0.10160643607378006,1971,8.002591133117676,HB1302,TC15,14.375020027160645,192.5285186767578,202.5203399658203,0.5864489078521729,1.1065136641263962e-4,1.1789648124249652e-4,61.88021469116211
451199,34.972476959228516,4.62780237197876,0.09249941259622574,6129,7.99555778503418,HB1302,TC16,14.726354598999023,145.866943359375,210.13816833496097,0.5665668249130249,1.395927683915943e-4,2.4857421522028744e-5,166.43093872070313
451925,34.97651672363281,4.689787864685059,0.1186099573969841,5300,7.995254516601563,HB1302,TC24,15.40214729309082,138.9130401611328,210.29364013671875,0.594683825969696,-4.51630876341369e-5,-4.800781243829988e-5,71.349456787109375
451926,34.971649169921875,4.6053690910339355,0.1084834635257721,11081,7.994284629821777,HB1302,TC16,16.769332885742188,126.3179168701172,212.6664581298828,0.5868780016899109,-1.7853515601018444e-5,-9.961425530491395e-5,113.01593780517578
452652,34.97601318359375,4.673837184906006,0.1221841126680374,2262,7.993775367736816,HB1302,TC17,15.292858123779297,120.29375457763672,212.833984375,0.6146491765975952,7.203905988717452e-5,5.8598634495865554e-5,79.49028015136719
452653,34.97053909301758,4.578152656555176,0.1032763123512268,12554,7.993011474609375,HB1302,TC17,19.36941719055176,106.7688980102539,215.1947479248047,0.6051970720291138,1.4055956853553653e-4,-6.0488280723802745e-5,85.94007873535156
453376,35.00560760498047,5.189591884613037,0.05676485598087311,6418,7.996326446533203,HB1302,TC13,6.916533946990967,145.03823852539065,209.2110290527344,0.6588085293769836,2.1580077373073436e-5,9.27255823626183e-5,95.126373291015625
453380,34.969173431396484,4.544878005981445,0.0916539579629898,699,7.9917378425598145,HB1302,TC19,16.200326919555664,87.2198715209961,217.72305297851565,0.6209750175476074,5.025195423513651e-5,-5.529589543584734e-5,91.5851821899414
453383,34.95502471923828,4.284409046173096,0.06024471297860145,6650,7.990491390228272,HB1302,TC18,18.665904998779297,43.8560905456543,224.93006896972656,0.5900910496711731,1.438261679140851e-4,-7.060547068249434e-5,196.84832763671875
454102,35.01295471191406,5.322243690490723,0.04807952046394348,8038,7.995466709136963,HB1302,TC13,7.142601013183594,144.5924835205078,209.3057556152344,0.6797237992286682,-7.395409920718521e-5,8.874023478711024e-5,140.8029327392578
454103,35.0022087097168,5.127836227416992,0.05796372517943382,2522,7.994245529174805,HB1302,TC13,7.4392008781433105,129.20814514160156,211.44467163085935,0.675523042678833,1.952246020664461e-5,5.6367189245065674e-5,128.33053588867188
454107,34.96723175048828,4.502654552459717,0.08051132410764694,6670,7.990469455718994,HB1302,TC19,19.44721031188965,67.67084503173828,220.25259399414065,0.6335605382919312,-1.5719237853772938e-4,3.374024345248472e-6,95.77735900878906
454108,34.96098709106445,4.385075092315674,0.08516821265220642,2813,7.990259170532227,HB1302,TC19,13.232402801513672,52.286521911621094,222.6213836669922,0.6219096779823303,1.4955566439311951e-4,-2.4933591703302227e-5,103.18035888671876
454109,34.958065032958984,4.329820156097412,0.08311498165130615,1038,7.990048408508301,HB1302,TC18,11.397124290466309,36.90219497680664,224.9901885986328,0.6106979846954346,-5.6422853958792984e-5,-5.0142578402301297e-5,144.9498291015625
454110,34.95096969604492,4.19481086730957,0.0717921182513237,9971,7.989838123321533,HB1302,TC18,12.614212989807127,21.517868041992188,227.35899353027344,0.6001036763191223,-4.575097773340531e-5,-6.440917786676437e-5,198.6990203857422
454835,34.958229064941406,4.322996616363525,0.07345608621835709,4256,7.989406108856201,HB1302,TC19,13.217985153198242,31.807764053344727,225.1637420654297,0.6306030750274658,-1.954004073922988e-5,-1.2370117474347353e-4,99.54652404785156
454836,34.95330810546875,4.228014945983887,0.07743731141090393,11200,7.989336013793945,HB1302,TC18,11.329182624816896,15.493703842163086,227.4734039306641,0.618950366973877,-7.027539686532691e-5,-5.744531154050492e-5,114.45094299316406
454837,34.947261810302734,4.11038064956665,0.07236778736114502,525,7.989266395568848,HB1302,TC18,10.366019248962402,-0.8203559517860413,229.7830810546875,0.6078871488571167,1.696581966825761e-5,1.1289043868600857e-6,178.1667022705078
455564,34.942935943603516,4.017158031463623,0.06224893778562546,8117,7.988894939422607,HB1302,TC18,9.681196212768556,-23.158578872680664,232.19532775878903,0.6135567426681519,-2.8974613996979315e-6,-8.822656673146412e-5,108.83018493652344
456284,34.977176666259766,4.671255588531494,0.08939899504184723,2215,7.991415023803711,HB1903,R2108,12.64688777923584,81.71788024902344,219.78271484375,0.6875660419464111,-5.3864259825786576e-5,1.0653319804987404e-5,136.61343383789065
456285,34.9780387878418,4.686366558074951,0.09343604743480682,3574,7.990622043609619,HB1903,R2108,12.852575302124023,63.54435348510742,221.98992919921875,0.682227611541748,-1.2552732187032234e-5,1.6352343664038926e-4,140.29193115234375
457012,34.963829040527344,4.413148880004883,0.08309763669967651,10310,7.990260124206543,HB1903,R2108,17.326311111450195,46.78452682495117,224.97657775878903,0.6885098218917847,-1.61214848048985e-4,-7.367676153080538e-5,142.95050048828125
