ID,SurveyID,Dive,Lat,Lon,Location
230179,HB1402,HB1402-R1707,4795916.90662165,661192.717601402,Jordan Basin
230839,1407Auster,1407Auster-2,4794916.90662165,594192.717601402,NA
231566,1407Auster,1407Auster-2,4793916.90662165,594192.717601402,NA
231567,1407Auster,1407Auster-2,4793916.90662165,595192.717601402,NA
231584,HB1402,HB1402-R1709,4793916.90662165,612192.717601402,Jordan Basin
231627,HB1402,HB1402-R1708,4793916.90662165,655192.717601402,Jordan Basin
232310,HB1402,HB1402-R1709,4792916.90662165,611192.717601402,Jordan Basin
232311,HB1402,HB1402-R1709,4792916.90662165,612192.717601402,Jordan Basin
232354,HB1402,HB1402-R1708,4792916.90662165,655192.717601402,Jordan Basin
292662,1507Auster,1507Auster-18,4709916.90662165,622192.717601402,NA
293385,1507Auster,1507Auster-16,4708916.90662165,618192.717601402,NA
296279,1507Auster,1507Auster-14,4704916.90662165,604192.717601402,NA
296288,1507Auster,1507Auster-15,4704916.90662165,613192.717601402,NA
297007,1507Auster,1507Auster-14,4703916.90662165,605192.717601402,NA
318858,1507Auster,1507Auster-12,4673916.90662165,646192.717601402,NA
319588,1507Auster,1507Auster-13,4672916.90662165,649192.717601402,NA
321189,R2111-R2118,R2111-R2118-R2118,4670916.90662165,796192.717601401,Northeast Channel
324091,R2111-R2118,R2111-R2118-R2117,4666916.90662165,790192.717601401,Northeast Channel
324092,R2111-R2118,R2111-R2118-R2117,4666916.90662165,791192.717601401,Northeast Channel
324819,R2111-R2118,R2111-R2118-R2117,4665916.90662165,791192.717601401,Northeast Channel
325544,R2111-R2118,R2111-R2118-R2117,4664916.90662165,789192.717601401,Northeast Channel
325545,R2111-R2118,R2111-R2118-R2117,4664916.90662165,790192.717601401,Northeast Channel
325546,R2111-R2118,R2111-R2118-R2117,4664916.90662165,791192.717601401,Northeast Channel
332825,EX1905L2,EX1905L2-EX1905L204,4654916.90662165,800192.717601401,Northeast Channel
333552,EX1905L2,EX1905L2-EX1905L204,4653916.90662165,800192.717601401,Northeast Channel
340796,R2111-R2118,R2111-R2118-R2113,4643916.90662165,774192.717601401,East of NE channel
340797,R2111-R2118,R2111-R2118-R2113,4643916.90662165,775192.717601401,East of NE channel
340798,R2111-R2118,R2111-R2118-R2113,4643916.90662165,776192.717601401,East of NE channel
341525,R2111-R2118,R2111-R2118-R2113,4642916.90662165,776192.717601401,East of NE channel
342252,R2111-R2118,R2111-R2118-R2113,4641916.90662165,776192.717601401,East of NE channel
342253,R2111-R2118,R2111-R2118-R2113,4641916.90662165,777192.717601401,East of NE channel
364773,Bigelow2017,Bigelow2017-R2012,4610916.90662165,760192.717601401,Fiddlers Cove
365499,Bigelow2017,Bigelow2017-R2012,4609916.90662165,759192.717601401,Fiddlers Cove
365500,Bigelow2017,Bigelow2017-R2012,4609916.90662165,760192.717601401,Fiddlers Cove
365501,Bigelow2017,Bigelow2017-R2012,4609916.90662165,761192.717601401,Fiddlers Cove
384381,R2111-R2118,R2111-R2118-R2111,4583916.90662165,739192.717601402,Corsair Canyon
385106,R2111-R2118,R2111-R2118-R2111,4582916.90662165,737192.717601402,Corsair Canyon
385107,R2111-R2118,R2111-R2118-R2111,4582916.90662165,738192.717601401,Corsair Canyon
385108,R2111-R2118,R2111-R2118-R2111,4582916.90662165,739192.717601402,Corsair Canyon
385835,HB1402,HB1402-R1701,4581916.90662165,739192.717601402,Corsair Canyon
385839,Bigelow2017,Bigelow2017-R2009,4581916.90662165,743192.717601402,Corsair Canyon
385844,R2111-R2118,R2111-R2118-R2112,4581916.90662165,748192.717601401,Corsair Canyon
386561,HB1402,HB1402-R1701,4580916.90662165,738192.717601401,Corsair Canyon
386562,HB1402,HB1402-R1701,4580916.90662165,739192.717601402,Corsair Canyon
386566,Bigelow2017,Bigelow2017-R2009,4580916.90662165,743192.717601402,Corsair Canyon
386571,R2111-R2118,R2111-R2118-R2112,4580916.90662165,748192.717601401,Corsair Canyon
387289,HB1402,HB1402-R1701,4579916.90662165,739192.717601402,Corsair Canyon
387298,R2111-R2118,R2111-R2118-R2112,4579916.90662165,748192.717601401,Corsair Canyon
388025,R2111-R2118,R2111-R2118-R2112,4578916.90662165,748192.717601401,Corsair Canyon
390930,HB1402,HB1402-R1702,4574916.90662165,745192.717601402,Corsair Canyon
390931,HB1402,HB1402-R1702,4574916.90662165,746192.717601402,Corsair Canyon
392370,Bigelow2017,Bigelow2017-R2010,4572916.90662165,731192.717601402,Georges Canyon
392374,Bigelow2017,Bigelow2017-R2011,4572916.90662165,735192.717601402,Georges Canyon
392387,HB1402,HB1402-R1702,4572916.90662165,748192.717601401,Corsair Canyon
392388,HB1402,HB1402-R1702,4572916.90662165,749192.717601401,Corsair Canyon
392389,HB1402,HB1402-R1702,4572916.90662165,750192.717601401,Corsair Canyon
393097,Bigelow2017,Bigelow2017-R2010,4571916.90662165,731192.717601402,Georges Canyon
393114,HB1402,HB1402-R1702,4571916.90662165,748192.717601401,Corsair Canyon
393116,HB1402,HB1402-R1702,4571916.90662165,750192.717601401,Corsair Canyon
393843,HB1402,HB1402-R1702,4570916.90662165,750192.717601401,Corsair Canyon
393844,HB1402,HB1402-R1702,4570916.90662165,751192.717601401,Corsair Canyon
394571,HB1402,HB1402-R1702,4569916.90662165,751192.717601401,Corsair Canyon
395282,Bigelow2017,Bigelow2017-R2011,4568916.90662165,735192.717601402,Georges Canyon
395298,HB1402,HB1402-R1702,4568916.90662165,751192.717601401,Corsair Canyon
408351,HB1402,HB1402-R1698,4550916.90662165,718192.717601402,Heezen Canyon
408352,HB1402,HB1402-R1698,4550916.90662165,719192.717601402,Heezen Canyon
409078,HB1402,HB1402-R1698,4549916.90662165,718192.717601402,Heezen Canyon
409079,HB1402,HB1402-R1698,4549916.90662165,719192.717601402,Heezen Canyon
409808,HB1402,HB1402-R1699,4548916.90662165,721192.717601402,Heezen Canyon
410535,HB1402,HB1402-R1699,4547916.90662165,721192.717601402,Heezen Canyon
410536,HB1402,HB1402-R1699,4547916.90662165,722192.717601402,Heezen Canyon
413443,HB1402,HB1402-R1697,4543916.90662165,721192.717601402,Heezen Canyon
413449,HB1402,HB1402-R1700,4543916.90662165,727192.717601402,Heezen Canyon
414895,HB1903,HB1903-R2110,4541916.90662165,719192.717601402,Heezen Canyon
414896,HB1903,HB1903-R2110,4541916.90662165,720192.717601402,Heezen Canyon
422883,EX1905L2,EX1905L2-EX1905L205,4530916.90662165,710192.717601402,Unnamed Canyon 1
425787,HB1702,HB1702-R2008,4526916.90662165,706192.717601402,Kinlan Canyon
425788,HB1702,HB1702-R2008,4526916.90662165,707192.717601402,Kinlan Canyon
426515,HB1702,HB1702-R2008,4525916.90662165,707192.717601402,Kinlan Canyon
427242,EX1905L2,EX1905L2-EX1905L206,4524916.90662165,707192.717601402,Kinlan Canyon
432328,HB1903,HB1903-R2109,4517916.90662165,704192.717601402,Nygren-Kinlan Intercanyon
433054,HB1903,HB1903-R2109,4516916.90662165,703192.717601402,Nygren-Kinlan Intercanyon
433055,HB1903,HB1903-R2109,4516916.90662165,704192.717601402,Nygren-Kinlan Intercanyon
436684,HB1402,HB1402-R1696,4511916.90662165,698192.717601402,Nygren Canyon
446119,HB1702,HB1702-R2006,4498916.90662165,682192.717601402,Munson-Nygren Intercanyon
446120,HB1702,HB1702-R2006,4498916.90662165,683192.717601402,Munson-Nygren Intercanyon
448288,HB1302,HB1302-TC14,4495916.90662165,670192.717601402,Munson Canyon
449015,HB1302,HB1302-TC14,4494916.90662165,670192.717601402,Munson Canyon
449742,HB1302,HB1302-TC14,4493916.90662165,670192.717601402,Munson Canyon
450468,HB1302,HB1302-TC15,4492916.90662165,669192.717601402,Munson Canyon
450469,HB1302,HB1302-TC15,4492916.90662165,670192.717601402,Munson Canyon
451195,HB1302,HB1302-TC15,4491916.90662165,669192.717601402,Munson Canyon
451199,HB1302,HB1302-TC16,4491916.90662165,673192.717601402,Munson Canyon
451925,HB1302,HB1302-TC24,4490916.90662165,672192.717601402,Munson Canyon
451926,HB1302,HB1302-TC16,4490916.90662165,673192.717601402,Munson Canyon
